,heat demand
1168,34.2524613
1169,35.0557802
1170,35.3265868
1171,35.1633441
1172,33.5430292
1173,28.9895451
1174,24.0933604
1175,21.3284616
1176,26.9215818
1177,27.3511529
1178,30.2696885
1179,35.0332356
1180,42.1499601
1181,53.1057398
1182,57.6756121
1183,55.7505961
1184,51.4477426
1185,47.6598621
1186,45.3330837
1187,42.7787351
1188,38.471217
1189,37.7706012
1190,38.4803507
1191,39.6130411
1192,41.2489879
1193,43.1589602
1194,42.4634979
1195,43.1776553
1196,41.6192948
1197,37.7916353
1198,30.405895
1199,27.4390742
1200,32.1096536
1201,30.2323941
1202,34.1510815
1203,40.9002279
1204,50.4984259
1205,48.7092863
1206,51.6741904
1207,48.5550573
1208,46.257014
1209,43.0788251
1210,41.5110151
1211,39.2925966
1212,37.8168409
1213,38.5794604
1214,37.7553457
1215,40.0804316
1216,42.3500461
1217,43.4278465
1218,43.9103815
1219,45.4664032
1220,43.6905797
1221,40.3379882
1222,32.7203869
1223,28.9889555
1224,32.455494
1225,33.8572664
1226,36.6484803
1227,42.0242974
1228,49.5292846
1229,60.4830943
1230,66.8295388
1231,64.6742188
1232,60.2497942
1233,56.3498739
1234,52.0035847
1235,50.0702352
1236,47.9562264
1237,47.2028824
1238,47.1087517
1239,48.6070635
1240,49.6543116
1241,51.452781
1242,51.7336587
1243,51.6433715
1244,48.8605574
1245,42.6053187
1246,35.1397721
1247,31.2737149
1248,35.7728092
1249,37.4339075
1250,40.4720709
1251,46.4939246
1252,55.2650738
1253,68.246901
1254,75.3217649
1255,74.8224774
1256,68.538858
1257,63.6057146
1258,59.4064955
1259,56.4846943
1260,54.7806914
1261,54.0328249
1262,53.6375061
1263,54.0731812
1264,55.711526
1265,55.9043825
1266,56.497402
1267,56.4863711
1268,53.558506
1269,46.0848365
1270,38.4300787
1271,34.9981058
1272,34.4548515
1273,36.0575248
1274,38.9779898
1275,44.7765564
1276,53.2352712
1277,65.7768662
1278,72.6240255
1279,72.1306458
1280,66.075304
1281,61.3194687
1282,57.27208
1283,54.4545818
1284,52.8152927
1285,52.094511
1286,51.7182257
1287,52.1436818
1288,53.7302394
1289,53.9293241
1290,54.5057818
1291,54.4990215
1292,51.679675
1293,44.4750829
1294,37.0656407
1295,33.7253223
1296,34.2251264
1297,35.8157063
1298,38.7195795
1299,44.4801163
1300,52.8766047
1301,65.3132145
1302,72.0936238
1303,71.6110663
1304,65.5988037
1305,60.8775483
1306,56.8591562
1307,54.062472
1308,52.4329691
1309,51.7172111
1310,51.3407509
1311,51.7599666
1312,53.3309661
1313,53.5210589
1314,54.0908872
1315,54.0821802
1316,51.2816738
1317,44.129118
1318,36.7909162
1319,33.4919825
1320,42.5680171
1321,44.0942159
1322,45.7793877
1323,49.7436472
1324,60.0758674
1325,75.0396344
1326,82.361825
1327,79.2783169
1328,75.4661434
1329,72.0940852
1330,68.2060911
1331,64.8067962
1332,62.9913623
1333,61.9926952
1334,62.4719155
1335,63.2620337
1336,63.8296936
1337,63.9608931
1338,63.5490054
1339,62.4488259
1340,59.3549896
1341,52.5484931
1342,44.5564982
1343,41.7116582
1344,45.7307691
1345,47.8256981
1346,50.4199086
1347,54.8980903
1348,66.5392768
1349,83.2264363
1350,87.79302
1351,84.3026216
1352,79.2786495
1353,76.1123458
1354,73.5318437
1355,68.5146963
1356,65.2031328
1357,64.2493451
1358,64.8908524
1359,66.7792521
1360,69.0480459
1361,69.6998583
1362,68.4830943
1363,67.0885785
1364,66.2707995
1365,58.8042008
1366,50.2529884
1367,47.6152957
1368,53.8573261
1369,53.6472593
1370,59.6559149
1371,70.7528865
1372,83.9525441
1373,82.7630116
1374,87.4696538
1375,84.7755071
1376,80.6284405
1377,77.143835
1378,75.4411305
1379,71.7997278
1380,70.0335275
1381,71.1214248
1382,72.5799171
1383,72.2688413
1384,76.892881
1385,78.4764039
1386,77.6286404
1387,77.5975975
1388,75.323542
1389,66.4862609
1390,59.3930216
1391,53.5263754
1392,56.6568974
1393,58.3944564
1394,62.6713616
1395,68.2409241
1396,82.2984082
1397,98.7381043
1398,106.76338
1399,103.133397
1400,98.6441551
1401,94.4401029
1402,89.4034148
1403,84.8785897
1404,83.4675667
1405,82.2780719
1406,82.9081134
1407,83.516634
1408,85.9545857
1409,86.3737222
1410,85.3700132
1411,82.5918671
1412,79.0476227
1413,69.7268436
1414,59.8064017
1415,56.0208409
1416,59.3693663
1417,61.1664556
1418,64.8451728
1419,70.6079799
1420,84.8540997
1421,102.152601
1422,111.800249
1423,108.045497
1424,103.101361
1425,98.1527872
1426,92.7913288
1427,88.7079385
1428,86.5000621
1429,85.269127
1430,86.0704619
1431,87.148417
1432,87.7249125
1433,87.2592724
1434,86.219296
1435,85.437747
1436,80.7233361
1437,71.2296171
1438,61.269369
1439,57.9590863
1440,59.8283643
1441,61.6398959
1442,65.3425317
1443,71.1480911
1444,85.500025
1445,102.963901
1446,112.725134
1447,108.929812
1448,103.943774
1449,98.9575031
1450,93.5548803
1451,89.4388475
1452,87.2140664
1453,85.974166
1454,86.783578
1455,87.872392
1456,88.4643955
1457,88.0053855
1458,86.9618486
1459,86.1753417
1460,81.4254334
1461,71.8516533
1462,61.7805924
1463,58.4192231
1464,58.6350205
1465,60.4101421
1466,64.0429885
1467,69.7344916
1468,83.8043661
1469,100.892481
1470,110.421172
1471,106.71252
1472,101.829619
1473,96.9424855
1474,91.6475509
1475,87.6145735
1476,85.434122
1477,84.2184777
1478,85.0099182
1479,86.0746088
1480,86.6447283
1481,86.185587
1482,85.1589779
1483,84.3872092
1484,79.7313285
1485,70.3547894
1486,60.5160422
1487,57.2437722
1488,58.677341
1489,60.7757725
1490,63.1059711
1491,68.5720672
1492,82.8224199
1493,103.336196
1494,113.369088
1495,109.140052
1496,103.885896
1497,99.2325457
1498,93.8670528
1499,89.1810949
1500,86.6733774
1501,85.2933515
1502,85.9500298
1503,87.0340779
1504,87.7831875
1505,87.9350269
1506,87.3511083
1507,85.8253771
1508,81.5563178
1509,72.1895755
1510,61.2559413
1511,57.4408519
1512,55.9753979
1513,58.5380784
1514,61.7205898
1515,67.2033291
1516,81.4577577
1517,101.823724
1518,107.377486
1519,103.113438
1520,96.9590357
1521,93.0820628
1522,89.9265269
1523,83.7794518
1524,79.7170908
1525,78.548285
1526,79.3324893
1527,81.6462256
1528,84.4135868
1529,85.1988699
1530,83.6973233
1531,81.9846188
1532,80.9916679
1533,71.85883
1534,61.4315273
1535,58.2629483
1536,63.753862
1537,63.8499392
1538,68.4284119
1539,74.1162209
1540,92.109817
1541,92.9404511
1542,99.5156945
1543,95.7944018
1544,91.4535365
1545,88.3205961
1546,87.9578018
1547,83.3848728
1548,82.0492115
1549,80.5896435
1550,82.5335379
1551,83.2860673
1552,87.0072589
1553,86.5520579
1554,85.9924867
1555,84.8656407
1556,83.0097936
1557,74.8147176
1558,65.4491378
1559,62.3612164
1560,65.788747
1561,67.1622018
1562,70.6939897
1563,74.941693
1564,90.8657685
1565,107.667373
1566,118.209974
1567,114.555649
1568,110.693959
1569,104.969161
1570,100.274014
1571,96.6716444
1572,94.229562
1573,91.6457806
1574,91.2132508
1575,91.3867781
1576,94.8035964
1577,95.0403979
1578,94.0703889
1579,89.9238665
1580,85.979095
1581,78.1098804
1582,68.2990973
1583,64.3014491
1584,64.1018691
1585,65.443533
1586,69.0502164
1587,72.4126266
1588,88.5955302
1589,105.640856
1590,115.621198
1591,114.569084
1592,107.965947
1593,102.532058
1594,99.0475232
1595,94.5849388
1596,91.5703386
1597,90.3054227
1598,90.9842713
1599,90.2097702
1600,92.4458254
1601,91.4189469
1602,90.943982
1603,87.8386206
1604,82.4121392
1605,74.4109623
1606,66.0867946
1607,62.8076619
1608,57.6730625
1609,59.4200934
1610,62.9882913
1611,68.5846493
1612,82.4194855
1613,99.2645221
1614,108.674983
1615,105.015451
1616,100.209291
1617,95.4033199
1618,90.19593
1619,86.2279048
1620,84.0836072
1621,82.8885622
1622,83.6688552
1623,84.718632
1624,85.2914527
1625,84.851082
1626,83.8465858
1627,83.0887378
1628,78.5105736
1629,69.2809966
1630,59.5679691
1631,56.3192605
1632,51.2428963
1633,52.7968057
1634,55.9668627
1635,60.9400689
1636,73.2344897
1637,88.2110672
1638,96.5539324
1639,93.3061127
1640,89.0384134
1641,84.7697151
1642,80.144325
1643,76.6185762
1644,74.714133
1645,73.6525095
1646,74.3449095
1647,75.2767778
1648,75.7853988
1649,75.3941082
1650,74.5029501
1651,73.8298594
1652,69.7632561
1653,61.564484
1654,52.9400617
1655,50.0454123
1656,48.8382562
1657,50.5874228
1658,52.5239829
1659,57.0731418
1660,68.9314724
1661,86.0528106
1662,94.4214023
1663,90.8942446
1664,86.5216675
1665,82.6510618
1666,78.1881116
1667,74.287988
1668,72.2030929
1669,71.0558944
1670,71.6037263
1671,72.5077412
1672,73.1442708
1673,73.2820536
1674,72.8028132
1675,71.5366593
1676,67.9854954
1677,60.1837725
1678,51.0526394
1679,47.83285
1680,43.5161144
1681,45.5097078
1682,47.9763701
1683,52.2371466
1684,63.3126788
1685,79.2062248
1686,83.565168
1687,80.2407444
1688,75.4608601
1689,72.4480051
1690,69.9914086
1691,65.2188332
1692,62.0698849
