time,x,y,lon,lat,temperature,T_supply
2022-01-12 10:00:00,11.75,48.25,11.75,48.25,-1.7087708,70.0
2022-01-12 11:00:00,11.75,48.25,11.75,48.25,-1.5808716,70.0
2022-01-12 12:00:00,11.75,48.25,11.75,48.25,-1.3596191,70.0
2022-01-12 13:00:00,11.75,48.25,11.75,48.25,-1.0808105,70.0
2022-01-12 14:00:00,11.75,48.25,11.75,48.25,-1.2102356,70.0
2022-01-12 15:00:00,11.75,48.25,11.75,48.25,-1.6586914,70.0
2022-01-12 16:00:00,11.75,48.25,11.75,48.25,-3.2417297,70.0
2022-01-12 17:00:00,11.75,48.25,11.75,48.25,-3.646637,70.0
2022-01-12 18:00:00,11.75,48.25,11.75,48.25,-3.4027405,70.0
2022-01-12 19:00:00,11.75,48.25,11.75,48.25,-3.2980652,70.0
2022-01-12 20:00:00,11.75,48.25,11.75,48.25,-3.4212341,70.0
2022-01-12 21:00:00,11.75,48.25,11.75,48.25,-3.4799805,70.0
2022-01-12 22:00:00,11.75,48.25,11.75,48.25,-3.312378,70.0
2022-01-12 23:00:00,11.75,48.25,11.75,48.25,-2.5914001,70.0
2022-01-13 00:00:00,11.75,48.25,11.75,48.25,-3.303131,70.0
2022-01-13 01:00:00,11.75,48.25,11.75,48.25,-3.177002,70.0
2022-01-13 02:00:00,11.75,48.25,11.75,48.25,-2.6656494,70.0
2022-01-13 03:00:00,11.75,48.25,11.75,48.25,-3.1662903,70.0
2022-01-13 04:00:00,11.75,48.25,11.75,48.25,-3.7429504,70.0
2022-01-13 05:00:00,11.75,48.25,11.75,48.25,-3.9305115,70.0
2022-01-13 06:00:00,11.75,48.25,11.75,48.25,-3.5029297,70.0
2022-01-13 07:00:00,11.75,48.25,11.75,48.25,-2.7777405,70.0
2022-01-13 08:00:00,11.75,48.25,11.75,48.25,-2.85141,70.0
2022-01-13 09:00:00,11.75,48.25,11.75,48.25,-2.1924133,70.0
2022-01-13 10:00:00,11.75,48.25,11.75,48.25,-1.9595337,70.0
2022-01-13 11:00:00,11.75,48.25,11.75,48.25,-1.4195557,70.0
2022-01-13 12:00:00,11.75,48.25,11.75,48.25,-0.66604614,70.0
2022-01-13 13:00:00,11.75,48.25,11.75,48.25,-0.05328369,70.0
2022-01-13 14:00:00,11.75,48.25,11.75,48.25,0.07879639,70.0
2022-01-13 15:00:00,11.75,48.25,11.75,48.25,-0.75161743,70.0
2022-01-13 16:00:00,11.75,48.25,11.75,48.25,-1.2057495,70.0
2022-01-13 17:00:00,11.75,48.25,11.75,48.25,-1.4776917,70.0
2022-01-13 18:00:00,11.75,48.25,11.75,48.25,-2.2034607,70.0
2022-01-13 19:00:00,11.75,48.25,11.75,48.25,-2.2878418,70.0
2022-01-13 20:00:00,11.75,48.25,11.75,48.25,-2.4107056,70.0
2022-01-13 21:00:00,11.75,48.25,11.75,48.25,-2.612854,70.0
2022-01-13 22:00:00,11.75,48.25,11.75,48.25,-1.8772583,70.0
2022-01-13 23:00:00,11.75,48.25,11.75,48.25,-2.1524658,70.0
2022-01-14 00:00:00,11.75,48.25,11.75,48.25,-2.8153381,70.0
2022-01-14 01:00:00,11.75,48.25,11.75,48.25,-3.0171814,70.0
2022-01-14 02:00:00,11.75,48.25,11.75,48.25,-3.4516296,70.0
2022-01-14 03:00:00,11.75,48.25,11.75,48.25,-3.7435608,70.0
2022-01-14 04:00:00,11.75,48.25,11.75,48.25,-3.6967468,70.0
2022-01-14 05:00:00,11.75,48.25,11.75,48.25,-3.6514282,70.0
2022-01-14 06:00:00,11.75,48.25,11.75,48.25,-3.859558,70.0
2022-01-14 07:00:00,11.75,48.25,11.75,48.25,-3.6904907,70.0
2022-01-14 08:00:00,11.75,48.25,11.75,48.25,-2.5216064,70.0
2022-01-14 09:00:00,11.75,48.25,11.75,48.25,-1.0411682,70.0
2022-01-14 10:00:00,11.75,48.25,11.75,48.25,0.3131714,70.0
2022-01-14 11:00:00,11.75,48.25,11.75,48.25,1.8854675,70.0
2022-01-14 12:00:00,11.75,48.25,11.75,48.25,3.6065674,70.0
2022-01-14 13:00:00,11.75,48.25,11.75,48.25,4.8863525,70.0
2022-01-14 14:00:00,11.75,48.25,11.75,48.25,5.1219177,70.0
2022-01-14 15:00:00,11.75,48.25,11.75,48.25,4.3749695,70.0
2022-01-14 16:00:00,11.75,48.25,11.75,48.25,2.0921326,70.0
2022-01-14 17:00:00,11.75,48.25,11.75,48.25,0.82662964,70.0
2022-01-14 18:00:00,11.75,48.25,11.75,48.25,0.41635132,70.0
2022-01-14 19:00:00,11.75,48.25,11.75,48.25,-0.49368286,70.0
2022-01-14 20:00:00,11.75,48.25,11.75,48.25,-1.7043152,70.0
2022-01-14 21:00:00,11.75,48.25,11.75,48.25,-2.235077,70.0
2022-01-14 22:00:00,11.75,48.25,11.75,48.25,-2.216278,70.0
2022-01-14 23:00:00,11.75,48.25,11.75,48.25,-2.434845,70.0
2022-01-15 00:00:00,11.75,48.25,11.75,48.25,-2.4333496,70.0
2022-01-15 01:00:00,11.75,48.25,11.75,48.25,-2.216278,70.0
2022-01-15 02:00:00,11.75,48.25,11.75,48.25,-2.8320312,70.0
2022-01-15 03:00:00,11.75,48.25,11.75,48.25,-2.7357178,70.0
2022-01-15 04:00:00,11.75,48.25,11.75,48.25,-2.7506104,70.0
2022-01-15 05:00:00,11.75,48.25,11.75,48.25,-2.5887146,70.0
2022-01-15 06:00:00,11.75,48.25,11.75,48.25,-2.2583313,70.0
2022-01-15 07:00:00,11.75,48.25,11.75,48.25,-2.1488953,70.0
2022-01-15 08:00:00,11.75,48.25,11.75,48.25,-0.9663086,70.0
2022-01-15 09:00:00,11.75,48.25,11.75,48.25,-0.35385132,70.0
2022-01-15 10:00:00,11.75,48.25,11.75,48.25,0.4133606,70.0
2022-01-15 11:00:00,11.75,48.25,11.75,48.25,0.7017212,70.0
2022-01-15 12:00:00,11.75,48.25,11.75,48.25,1.318634,70.0
2022-01-15 13:00:00,11.75,48.25,11.75,48.25,1.465332,70.0
2022-01-15 14:00:00,11.75,48.25,11.75,48.25,1.5315552,70.0
2022-01-15 15:00:00,11.75,48.25,11.75,48.25,1.097992,70.0
2022-01-15 16:00:00,11.75,48.25,11.75,48.25,0.07196045,70.0
2022-01-15 17:00:00,11.75,48.25,11.75,48.25,-0.73791504,70.0
2022-01-15 18:00:00,11.75,48.25,11.75,48.25,-0.46090698,70.0
