,dec air heat pump,dec pellet boiler,dec ground heat pump
390,0.71140333,0.71140333,0.71140333
391,0.68800304,0.68800304,0.68800304
392,0.65820096,0.65820096,0.65820096
393,0.63000198,0.63000198,0.63000198
394,0.5961644,0.5961644,0.5961644
395,0.56578075,0.56578075,0.56578075
396,0.55640297,0.55640297,0.55640297
397,0.54836532,0.54836532,0.54836532
398,0.55241639,0.55241639,0.55241639
399,0.55621799,0.55621799,0.55621799
400,0.57193201,0.57193201,0.57193201
401,0.57399067,0.57399067,0.57399067
402,0.56684168,0.56684168,0.56684168
403,0.54775176,0.54775176,0.54775176
404,0.52402462,0.52402462,0.52402462
405,0.46197968,0.46197968,0.46197968
406,0.39822863,0.39822863,0.39822863
407,0.37504857,0.37504857,0.37504857
408,0.37507473,0.37507473,0.37507473
409,0.38637098,0.38637098,0.38637098
410,0.4099892,0.4099892,0.4099892
411,0.44654049,0.44654049,0.44654049
412,0.53688717,0.53688717,0.53688717
413,0.64348236,0.64348236,0.64348236
414,0.70132722,0.70132722,0.70132722
415,0.6785375,0.6785375,0.6785375
416,0.64758877,0.64758877,0.64758877
417,0.61626853,0.61626853,0.61626853
418,0.58236288,0.58236288,0.58236288
419,0.55665536,0.55665536,0.55665536
420,0.54268758,0.54268758,0.54268758
421,0.53486412,0.53486412,0.53486412
422,0.53977695,0.53977695,0.53977695
423,0.54638392,0.54638392,0.54638392
424,0.54911154,0.54911154,0.54911154
425,0.5453215,0.5453215,0.5453215
426,0.53837043,0.53837043,0.53837043
427,0.53334108,0.53334108,0.53334108
428,0.50347003,0.50347003,0.50347003
429,0.44403207,0.44403207,0.44403207
430,0.38387012,0.38387012,0.38387012
431,0.36512853,0.36512853,0.36512853
432,0.38035715,0.38035715,0.38035715
433,0.39181487,0.39181487,0.39181487
434,0.4157422,0.4157422,0.4157422
435,0.45279862,0.45279862,0.45279862
436,0.54439456,0.54439456,0.54439456
437,0.65265345,0.65265345,0.65265345
438,0.71152196,0.71152196,0.71152196
439,0.68834994,0.68834994,0.68834994
440,0.65694538,0.65694538,0.65694538
441,0.62518653,0.62518653,0.62518653
442,0.59080444,0.59080444,0.59080444
443,0.5647293,0.5647293,0.5647293
444,0.55056544,0.55056544,0.55056544
445,0.54263464,0.54263464,0.54263464
446,0.54762674,0.54762674,0.54762674
447,0.55434021,0.55434021,0.55434021
448,0.55716405,0.55716405,0.55716405
449,0.55337407,0.55337407,0.55337407
450,0.54634811,0.54634811,0.54634811
451,0.54125351,0.54125351,0.54125351
452,0.51096639,0.51096639,0.51096639
453,0.450656,0.450656,0.450656
454,0.38946851,0.38946851,0.38946851
455,0.37033219,0.37033219,0.37033219
456,0.38286569,0.38286569,0.38286569
457,0.3943939,0.3943939,0.3943939
458,0.41850802,0.41850802,0.41850802
459,0.45581949,0.45581949,0.45581949
460,0.54804492,0.54804492,0.54804492
461,0.65680769,0.65680769,0.65680769
462,0.71583482,0.71583482,0.71583482
463,0.69257962,0.69257962,0.69257962
464,0.66098874,0.66098874,0.66098874
465,0.62901551,0.62901551,0.62901551
466,0.59440349,0.59440349,0.59440349
467,0.56816331,0.56816331,0.56816331
468,0.55390424,0.55390424,0.55390424
469,0.54591744,0.54591744,0.54591744
470,0.5509314,0.5509314,0.5509314
471,0.55767394,0.55767394,0.55767394
472,0.56044662,0.56044662,0.56044662
473,0.55656675,0.55656675,0.55656675
474,0.54946472,0.54946472,0.54946472
475,0.54432939,0.54432939,0.54432939
476,0.51383542,0.51383542,0.51383542
477,0.45316785,0.45316785,0.45316785
478,0.39178588,0.39178588,0.39178588
479,0.37269301,0.37269301,0.37269301
480,0.40915837,0.40915837,0.40915837
481,0.42377145,0.42377145,0.42377145
482,0.44023096,0.44023096,0.44023096
483,0.47846961,0.47846961,0.47846961
484,0.57826308,0.57826308,0.57826308
485,0.71868544,0.71868544,0.71868544
486,0.78517806,0.78517806,0.78517806
487,0.75667307,0.75667307,0.75667307
488,0.72029161,0.72029161,0.72029161
489,0.68781068,0.68781068,0.68781068
490,0.65033618,0.65033618,0.65033618
491,0.61764993,0.61764993,0.61764993
492,0.60007693,0.60007693,0.60007693
493,0.59036775,0.59036775,0.59036775
494,0.59475076,0.59475076,0.59475076
