,heat demand
1168,37.4983881
1169,38.316608
1170,38.5791533
1171,38.3681432
1172,36.5739218
1173,31.5701331
1174,26.3924182
1175,23.5428687
1176,29.6765138
1177,30.1035963
1178,33.3856399
1179,38.6542556
1180,46.4242768
1181,58.210303
1182,62.9226848
1183,60.8665594
1184,56.1707292
1185,52.0341086
1186,49.5213505
1187,46.7251313
1188,41.8716134
1189,41.098953
1190,41.8710555
1191,43.0921935
1192,44.8325549
1193,46.8738861
1194,46.0302637
1195,46.8069262
1196,45.1056258
1197,40.9961488
1198,33.1311885
1199,30.1437999
1200,36.4019492
1201,34.1639234
1202,38.6857149
1203,46.3828942
1204,57.2139921
1205,54.5013722
1206,57.4604056
1207,53.9718551
1208,51.4881069
1209,47.9597867
1210,46.2675892
1211,43.7941348
1212,42.1046887
1213,43.0097937
1214,42.02215
1215,44.6543165
1216,47.1696632
1217,48.2939127
1218,48.7938288
1219,50.564703
1220,48.5706699
1221,44.9156278
1222,36.5988234
1223,32.660039
1224,36.1677137
1225,37.7020221
1226,40.864872
1227,46.8652342
1228,55.1166767
1229,66.9402524
1230,73.6739905
1231,71.3497477
1232,66.4923678
1233,62.2074401
1234,57.3805767
1235,55.278502
1236,52.888556
1237,52.0510992
1238,51.909304
1239,53.5520652
1240,54.6243872
1241,56.5439161
1242,56.8015571
1243,56.6637278
1244,53.5567703
1245,46.6640166
1246,38.6901365
1247,34.6880316
1248,40.1028159
1249,41.9370689
1250,45.4004541
1251,52.1645993
1252,61.8857512
1253,76.0348054
1254,83.588352
1255,83.166756
1256,76.1663533
1257,70.6872797
1258,66.0145313
1259,62.7762458
1260,60.8448043
1261,60.0109451
1262,59.5184779
1263,59.9435977
1264,61.6873659
1265,61.7600266
1266,62.3706292
1267,62.3190713
1268,59.0341895
1269,50.7275324
1270,42.5490657
1271,39.0668261
1272,38.3295648
1273,40.0857814
1274,43.3896366
1275,49.8530941
1276,59.1562041
1277,72.7214274
1278,79.9767845
1279,79.5601889
1280,72.8659178
1281,67.6242937
1282,63.1550591
1283,60.0563129
1284,58.2123913
1285,57.4148823
1286,56.9490748
1287,57.3617859
1288,59.0378428
1289,59.1219131
1290,59.7113525
1291,59.6663463
1292,56.527488
1293,48.5813133
1294,40.7243355
1295,37.3577881
1296,38.5094242
1297,40.2720678
1298,43.5951611
1299,50.0898099
1300,59.4292642
1301,73.0316722
1302,80.2961523
1303,79.8866902
1304,73.1639403
1305,67.9010999
1306,63.4132007
1307,60.302356
1308,58.448392
1309,57.6474317
1310,57.1761952
1311,57.5866862
1312,59.2645162
1313,59.3395688
1314,59.9282371
1315,59.880469
1316,56.7267441
1317,48.7480143
1318,40.8806494
1319,37.5221805
1320,47.0855776
1321,48.7711441
1322,50.6597457
1323,55.058904
1324,66.5367221
1325,82.7814533
1326,90.4811268
1327,87.1841316
1328,82.9965966
1329,79.2625265
1330,74.9545277
1331,71.193212
1332,69.1748486
1333,68.0601143
1334,68.5675619
1335,69.4147738
1336,69.920932
1337,69.962275
1338,69.4623895
1339,68.2166248
1340,64.7896814
1341,57.3338514
1342,48.8456513
1343,45.9939491
1344,50.4570825
1345,52.7798854
1346,55.6942684
1347,60.658238
1348,73.57514
1349,91.6594746
1350,96.1410262
1351,92.4137003
1352,86.8752215
1353,83.3912881
1354,80.5852886
1355,75.0059547
1356,71.2985391
1357,70.238471
1358,70.9244534
1359,73.0097515
1360,75.4264504
1361,76.0439198
1362,74.6275012
1363,73.0497028
1364,72.2196462
1365,64.0594988
1366,55.0248467
1367,52.4603871
1368,60.0726114
1369,59.7734437
1370,66.6182563
1371,79.1895561
1372,93.9777552
1373,91.6878241
1374,96.304118
1375,93.4765161
1376,88.9073351
1377,85.0382904
1378,83.2231507
1379,79.179
1380,77.2116741
1381,78.4805775
1382,80.1036439
1383,79.6852346
1384,84.8039645
1385,86.4817839
1386,85.4717501
1387,85.4405986
1388,82.9457943
1389,73.1735166
1390,65.7889603
1391,59.5461641
1392,63.1527609
1393,65.0781459
1394,69.935697
1395,76.1709129
1396,91.9132861
1397,109.740927
1398,118.11223
1399,114.228653
1400,109.280171
1401,104.597226
1402,98.9777847
1403,93.9325036
1404,92.3753855
1405,91.0404488
1406,91.7128276
1407,92.3433644
1408,94.9505621
1409,95.2896914
1410,94.1005469
1411,90.9287898
1412,86.9887062
1413,76.6872427
1414,66.109447
1415,62.2717272
1416,66.2112862
1417,68.203113
1418,72.3763648
1419,78.8292516
1420,94.7791468
1421,113.560116
1422,123.760476
1423,119.7426
1424,114.279337
1425,108.748392
1426,102.761299
1427,98.2242008
1428,95.7574996
1429,94.3757882
1430,95.2425236
1431,96.4077686
1432,96.8807836
1433,96.203546
1434,94.971402
1435,94.0824192
1436,88.807331
1437,78.3182432
1438,67.7188148
1439,64.4398826
1440,66.8491453
1441,68.8606887
