,biomethane boiler,large scale heat pump,TTES charge,TTES discharge,selling
2085,-0.0,-6.7436809025337,-0.0,-0.0,-0.0
2086,-0.0,-5.776874278337968,-0.0,-0.0,-0.0
2087,-0.0,-5.246069648222971,-0.0,-0.0,-0.0
2088,-0.0,-4.701359794422298,-0.0,-0.0,-0.0
2089,-0.0,-5.0839884961291055,-0.0,-0.0,-0.0
2090,-0.0,-5.578254117161875,-0.0,-0.0,-0.0
2091,-0.0,-6.679541576099418,-0.0,-0.0,-0.0
2092,-0.0,-8.503755671963043,-0.0,-0.0,-0.0
2093,-0.0,-11.237858039781964,-0.0,-0.0,-0.0
2094,-0.0,-12.102768433860703,-0.0,-0.0,-0.0
2095,-0.0,-11.198903359362872,-0.0,-0.0,-0.0
2096,-0.0,-8.954787342972809,-0.0,-0.0,-0.0
2097,-0.0,-6.330209377851069,-0.0,-0.0,-0.0
2098,-0.0,-4.466754230684717,-0.0,-0.0,-0.0
2099,-0.0,-3.8307885502674828,-0.0,-0.0,-0.0
2100,-0.0,-3.8761224393852394,-0.0,-0.0,-0.0
2101,-0.0,-4.332107664449522,-0.35919915700429783,-0.0,-0.0
2102,-0.0,-4.624399108735872,-0.013147939400170117,-0.0,-0.0
2103,-0.0,-4.780809305688448,-0.013184590713279931,-0.0,-0.0
2104,-0.0,-5.394348278148951,-0.013503057592259893,-0.0,-0.0
2105,-0.0,-5.659434776541477,-0.0,-0.0,-0.0
2106,-0.0,-6.267368733559429,-0.0,-0.0,-0.0
2107,-0.0,-6.578306346277255,-0.0,-0.0,-0.0
2108,-0.0,-6.604411535368772,-0.0,-0.0,-0.0
2109,-0.0,-5.94817897725543,-0.0,-0.0,-0.0
2110,-0.0,-4.653521533018584,-0.0,-0.0,-0.0
2111,-0.0,-4.181714717889004,-0.0,-0.0,-0.0
2112,-0.0,-4.666568280760566,-0.0,-0.0,-0.0
2113,-0.0,-5.068757867793258,-0.0,-0.0,-0.0
2114,-0.0,-5.50264277289489,-0.0,-0.0,-0.0
2115,-0.0,-6.543352041274899,-0.0,-0.0,-0.0
2116,-0.0,-8.426881480316311,-0.0,-0.0,-0.0
2117,-0.0,-11.019760711566953,-0.0,-0.0,-0.0
2118,-0.0,-11.837239149155808,-0.0,-0.0,-0.0
2119,-0.0,-11.30923662083468,-0.0,-0.0,-0.0
2120,-0.0,-10.023506459440693,-0.0,-0.0,-0.0
2121,-0.0,-8.908577076732197,-0.0,-0.0,-0.0
2122,-0.0,-7.344072450946855,-0.0,-0.0,-0.0
2123,-0.0,-5.920797354938644,-0.0,-0.0,-0.0
2124,-0.0,-5.655006789205538,-0.2913563223183928,-0.0,-0.0
2125,-0.0,-5.5248080499607894,-0.048207704224498826,-0.0,-0.0
2126,-0.0,-5.939359685781314,-0.015672018464442772,-0.0,-0.0
2127,-0.0,-6.412824362973037,-0.01590815989666794,-0.0,-0.0
2128,-0.0,-6.572160802565304,-0.016048622837786297,-0.0,-0.0
2129,-0.0,-6.843985987134392,-0.016329176998368666,-0.0,-0.0
2130,-0.0,-7.447608132849088,-0.016792799415242143,-0.0,-0.0
2131,-0.0,-7.710979043194878,-0.0,-0.0,-0.0
2132,-0.0,-7.740370723187262,-0.0,-0.0,-0.0
2133,-0.0,-7.114035170164051,-0.0,-0.0,-0.0
2134,-0.0,-5.531589398166424,-0.0,-0.0,-0.0
2135,-0.0,-4.883533614110568,-0.0,-0.0,-0.0
